CollectionSurveyKey,CollectionUnitKey,ScbId,VeNr,CUParentStatusCode,CUStatusCode,IndustryCode,PopulationSize,SampleSize,Stratum,AnnualTurnoverTotal,AnnualTurnoverDomestic,AnnualInventories,Netto,IndHandTj,SampleOccasion,Bgrupp
3,3428965,,1651637,00,002,25620,202,56,255XX0003,114192.0633556760,68235.0633556761,0,1,,2023,255XX
3,3428966,,1652056,00,002,28140,164,122,280000002,364530.4916708710,9941.4916708716,0,1,,2023,28000
3,3428967,,1653609,00,002,25620,202,56,255XX0003,83774.8392730757,81047.8392730757,0,1,,2023,255XX
3,3428968,,1653989,00,002,25610,618,68,255XX0002,24352.8268462241,24352.8268462241,0,1,,2023,255XX
3,3428969,,1654003,00,002,28220,173,28,280000001,77822.6652888865,47524.6652888865,0,1,,2023,28000
3,3428970,,1654086,00,002,25610,889,29,255XX0001,13674.3828349358,13597.3828349358,0,1,,2023,255XX
3,3428971,,1654789,00,002,31090,184,6,310000001,20785.6570813752,20785.6570813752,0,1,,2023,31000
3,3428972,,1655174,00,002,25110,150,10,251XX0001,23720.8940767695,23720.8940767695,0,1,,2023,251XX
3,3428973,,1655406,00,002,32501,71,5,325000001,14309.3332072728,14309.3332072728,0,1,,2023,32500
3,3428974,,1655745,00,002,25620,889,29,255XX0001,10201.7436274490,10201.7436274490,0,1,,2023,255XX
3,3428975,,1658061,00,002,26110,26,5,261000002,55956.5452410245,15756.5452410245,0,1,,2023,26100
3,3428976,,1663319,00,002,25120,150,10,251XX0001,44769.1640725124,44769.1640725124,0,1,,2023,251XX
3,3428977,,1664424,00,002,08120,24,5,080000003,54572.3155060903,54572.3155060903,0,1,,2023,08000
3,3428978,,1664614,00,002,33200,416,15,330000002,14251.0356586091,13436.0356586091,0,1,,2023,33000
3,3428979,,1666361,00,002,33150,1019,15,330000001,2785.3273424331,2785.3273424331,0,1,,2023,33000
3,3428980,,1666809,00,002,26200,35,8,262YY0001,34882.9335998140,19416.9335998140,0,1,,2023,262YY
3,3428981,,1667906,00,002,25620,889,29,255XX0001,15172.1226508398,14016.1226508398,0,1,,2023,255XX
3,3428982,,1670736,00,002,16239,189,5,162000001,20142.3935818589,20142.3935818589,0,1,,2023,16200
3,3428983,,1671924,00,002,25620,618,68,255XX0002,25542.0603083404,25542.0603083404,0,1,,2023,255XX
3,3428984,,1672500,00,002,18122,274,5,180000001,4553.7156637744,4553.7156637744,0,1,,2023,18000
3,3428985,,1673003,00,002,16291,191,27,162000002,42101.4573222709,41547.4573222709,0,1,,2023,16200
3,3428986,,1673391,00,002,25620,202,56,255XX0003,89221.9924408988,86219.9924408988,0,1,,2023,255XX
3,3428987,,1674035,00,002,25999,889,29,255XX0001,14103.6199565700,14028.6199565700,0,1,,2023,255XX
3,3428988,,1676543,00,002,16239,191,27,162000002,32858.7326610746,32858.7326610746,0,1,,2023,16200
3,3428989,,1676857,00,002,16291,191,27,162000002,52236.8438024936,37793.8438024936,0,1,,2023,16200
